nombre,region,pais,superf
BEAUJOLAIS,BOURGOGNE,FRANCIA,NULL
RIOJA ALTA,RIOJA,ESPANA,16130
NAVARRA,NULL,ESPANA,26500
TOSCANA,CENTRAL,ITALIA,NULL
RHEINHESSEN,NULL,ALEMANIA,23000
CHABLIS,BOURGOGNE,FRANCIA,NULL
MARGAUX,BORDEAUX,FRANCIA,7512
MEDOC,BORDEAUX,FRANCIA,11375
